书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
品读中西医文化,周亚东主编,北京中国中医药出版社,中国医药学文化研究医学文化研究,本书从文化源头、核心精神、思维方法、文化特征等方面介绍中西文化的不同，并挖掘在各自文化孕育下的中西医学之间区别，探讨中西医学的互融性。主要内容包括寻找中西医文化源头、体悟中西医文化精神等。,R-092,2016.05
医学人文教育学,李强，张红妹,天津天津人民出版社,医学教育人文素质教育职业培训教材,null,R-05,2016.03
医学伦理学,李中琳主编,郑州郑州大学出版社,医学伦理学医学院校教材,本教材共分三篇十三篇，分别介绍医学伦理学的基本理论与方法、应用与实践以及现代科学技术发展中的伦理等。,R-052,2012.01
重构秦汉医学图像,廖育群著,上海上海交通大学出版社,中国医药学医学史秦汉时代,本书通过对今本黄帝内经等中国传统医学经典以及马王堆出土医学著作的研究，重新刻画了秦汉医学史的概貌。,R-092,2012.07
世纪人文系列丛书明季西洋传入之医学,范行准著,上海上海人民出版社,医学科学交流中国明代,就明末清初西医入华史而言，目前我国学界之研究水平仍未超过范行准先生世纪年代所著的明季西洋传入之医学。该书卷万言，乃此领域奠基之作，功不可没。是书之论是以现代医学之观念来研究明季传入之西医。范氏将明季传入之解剖生理学分为前后两个时期，前期为传教士性学著作中的,R-092,1999.06
新中国医学档案,慕景强著,杭州浙江工商大学出版社,医学史中国现代,本书主要通过讲述新中国成立以来一些与医学有关的故事，比如青霉素的试制、首例心脏病手术、战天花等等，并且结合历史照片，然后以图文并茂的形式再现了新中国成立以来我国的医学发展的历程以及所取得的辉煌的成果。,R-092,2012.12
形神之间早期西洋医学入华史稿,董少新著,上海上海古籍出版社,现代医药学医学史中国明清时代,社会医疗史是目前相当前沿和兴盛的学术领域，是所谓新史学的一个重要前沿。但是，对明末清初西洋传教士在华的行医活动，无论是医学史家还是社会医疗史家，都未曾进行过系统研究。本书从宗教传播史和医疗社会史的角度探讨传教士在华的行医史活动，或许更能够揭示历史的真实情,R-092,2012.12
医学人文素质探析,张新华著,长沙湖南科学技术出版社,医学教育人文素质教育,null,R-05,2015.07
中国中医药文化遗存,范玉强，陈景林主编,天津天津社会科学院出版社,中国医药学文化史文集,本书是作者在从医业余时间收集的中医药历史文献、历史文化、历史遗存、医学名家故里等资料，编成的一部中国传统中医药历史文化著作。全书从中国石器时代文化遗迹与文物的医学起源开始，到近代医药文化遗迹结束，图文并茂，对于继承和发展中国传统中医药历史文化遗产有重要意义。,R-092,2015.12
大众科学技术史丛书大众医学史,孟君，张大庆著,济南山东科学技术出版社,医学史世界,本书共分为疾病与疾病观、医疗技术的发展、医疗服务体系的完善三部分，主要内容包括疾病的变迁、疾病观念的演进、诊断、药物、外科、针灸、医事制度的建立等。,R-091,2015.08
医学生人文素质教育初探,谷晓红主编,北京中国中医药出版社,医学教育人文素质教育研究,人文素质教育一直在医学教育中占据着重要的位置，医学教育有其独特的文化内涵，这与其本身学术理论基础与传统文化密不可分，如何把学生培养成为具备深厚文化底蕴、德才兼备的优秀人才，一直是学校为之探索的上善之道。本书就此课题进行探讨。在第一篇，我们以学习的方式研究了人文素质教育的变革第二篇展示北京中医药大学人文素质教育工作经验第三篇，基于人文素质教育效果较难评价这一课题，我们尝试引入循证医学的研究方法，建立一个值得讨论的效果评价途径。为医学院校的人文素质教育提供一定的方法。,R-05,2015.02
温州民俗中医药文化,胡臻主编,杭州浙江工商大学出版社,中国医药学文化史温州市,温州民俗中医药文化一书旨在通过温州民俗这一文化平台，对温州民俗与中医药文化的相互影响与相互交融，进行较深入的研究，阐述其渊源、发展与传承，探讨温州民俗中所包含的丰富医学内涵和特色。本著作分别从温州人生礼俗、岁时民俗、民间疗法、饮食文化、谚语等方面开展研究，挖掘材料，探讨温州民俗文化对中医药学特色形成的影响与实用价值。,R-092,2015.03
人文视野中的医学,刘俊荣著,北京中国文史出版社,医学人文科学研究,本书从医学哲学、医学伦理学、医学管理、医学教育四个方面，对当前医学的诸方面问题与生物医学模式进行了系统的审视。强调对人的生命应有正确的、全面的认识以德治医、以法治医医院管理的对象不应当是纯生物人，而是处在特定社会关系中的现实的人呼吁加强人文医学教育。人文理念始终是贯穿全书的主线。,R-05,2014.07
中医,于智华编著,重庆西南师范大学出版社,中国医药学医学史,本书为走向世界的中国文明丛书之一，从我国传统文化入手，从中医为什么产生在东方、中国佛学与医学、道教与医学、黄帝内经天道观等部分，剖析了中国传统文化对中医学的影响，厘清了中医与传统文化的脉络，最后，分析中医学对西医的影响。本书语言通俗，趣味性强，有利于读者进一步加强对中医的了解、用好中医、发展中医都是有裨益的。,R-092,2014.06
医学与人文研究,黄照权，马明霞，蓝秀华主编,桂林广西师范大学出版社,null,本书收录了桂林医学院医学与人文社会科学领域研究的相关成果。全书由四个部分组成编是医学人文教育，主要阐述了我国医学人文教育存在的问题，医学生医学人文素质培养的路径，借鉴国外经验以及以桂林医学院为个案如何破解医学人文精神培养的难题第二编是医学伦理，主要阐述大数据时代医疗隐私的伦理问题第三编是医学哲学，作者运用唯物辩证法对医学进行了研究第四编是医学与社会，论述了医学科学技术与社会科学之间相互作用的一些研究成果。,R-05,2017.11
人文医学概论,谢军，刘源，边林主编,石家庄河北人民出版社,医学人文科学概论,本书为医学人文系列丛书中的一种。医学人文，是一门医学和人文学的交叉学科。正如其名，是研究医学与人文关系及从人文观念角度出发对各种医学现象，事件进行思考，总结的学科。着重讲述认为医学的研究对象、医学和宗教的共同起源、医学和美学结合的历史发展、医学的道德属性、医药的起源与医学的性质、医疗危机与医学目的。,R-05,2014.02
医学伦理学,陈兰云主编,北京人民军医出版社,医学伦理学高等职业教育教材,本书共章，包括医学伦理学的形成和发展、生命伦理学、医患关系概述、临床诊疗工作中的医学道德等内容，其中增添了现代社会对医学伦理学有重要影响的内容，筛减了与其它德育教材中重复的内容，突出医疗卫生职业道德特点，同时还收录了国家以及医疗卫生管理部门颁布的有关医疗卫生的法律法规以引导学生学习了解国家有关医疗卫生工作的各种信息，使教材内容更加充实，具有更强的针对性和实用性。本教材适合在校医学生学习参考。,R-052,2012.01
医学概论,谢跃生主编,成都电子科技大学出版社,医学学概论,本书主要介绍了医学发展的过程、发展趋势、人才培养现状以及卫生改革与发展的历程等内容。同时在医学生人文素质教育与培养的要求方面，阐述了如何激发学生学习医学的兴趣与刻苦学习的决心，以及如何培养医学生良好的人文素质与道德情操等内容。本教材还增加了我国传统医学介绍，医务人员的职业素质，卫生发展对社会经济的贡献、现代医学发展中的伦理问题等内容。,R-0,2014.07
庆阳特色文化研究岐黄文化卷,高新民，高原编著黄正军主编左江华，马启昕副主编,兰州甘肃文化出版社,中国医药学医学史研究庆阳市文化史,庆阳特色文化研究丛书分农耕文化卷民俗文化卷红色文化卷岐黄文化卷。民俗文化卷立足于庆阳民俗生存的地理生态环境和历史文化环境，分析了庆阳各类民俗文化事象及其研究现状。,R-092;K294.23,2014.03
转化医学理念、策划与实践,戴克戎主编,西安第四军医大学出版社,医学研究,本书由戴尅戎院士牵头，邀请国内外转化医学研究领域的知名专家撰写而成。从不同角度对转化医学研究的理念与策略、转化医学研究海外经验、转化研究中的多学科平台建设转化医学中的实践与范例等进行了有益的探讨，具有较高的参考指导价值。,R-0,2014.1
疾病的哲学,毛喻原著,海口海南出版社,随笔作品集中国当代,疾病的哲学是一本随笔集，倡导人要活得有价值，赋予存在以意义，惟有这样，生活才能叫做生活，生命方能称为生命。同时，作者还论述了生理之外的疾病和枷锁对人们的学习、生活和工作的影响，以及如何摆脱这种心理疾病，让自己的人生更加有意义。本书内容丰富，观念新颖，为处在迷茫中的人们指引了方向，充满哲思的智慧。,R-02,2017.08
